row_id,phrase,matched_topic,score,accept
0,hidráulica,"arcgis, qgis",0.5574709177017212,True
1,control industrial,control de procesos,0.6984515190124512,True
1,plcs,producción,0.5817228555679321,True
1,instalaciones eléctricas y potencia.,"distribución eléctrica, generación eléctrica",0.8624044060707092,True
2,programación,"matemática aplicada, programación matemática",0.6200267672538757,True
2,aplicaciones móviles,"telefonía ip, voz sobre ip",0.3940960466861725,False
2,estructura de datos y algoritmos,"estructura de datos, estructuras",0.8504514694213867,True
2,desarrollo web,"css, desarrollo web, html ...",0.6516356468200684,True
3,robótica y todo lo relacionado a plcs,"sensores, sensores remotos",0.508594274520874,True
4,bases de datos,base de datos,0.9896608591079712,True
4,desarrollo de aplicaciones web,"css, desarrollo web, html ...",0.6016254425048828,True
4,tecnologías de seguriodad,"ciberseguridad, seguridad informática",0.6420289278030396,True
4,desarrollo de iot,modelado,0.3998038172721863,False
5,electrónica,"electrónica, electrónica analógica, electrónica digital ...",0.7630320191383362,True
6,programación,"matemática aplicada, programación matemática",0.6200267672538757,True
6,bases de datos,base de datos,0.9896608591079712,True
6,gestión de proyectos,planificación de obras,0.7408593893051147,True
7,diseño de proyectos estructurales,planificación de obras,0.7373233437538147,True
8,optimización de procesos,"optimización, optimización de procesos",0.9629255533218384,True
9,gestión de procesos,control de procesos,0.8787543773651123,True
9,calidad,"caracterización, clasificación",0.5351656675338745,True
9,logística y distribución,"logística, supply chain",0.8606815338134766,True
9,programación,"matemática aplicada, programación matemática",0.6200267672538757,True
9,proyectos,planificación de obras,0.7360752820968628,True
9,cadena de suministro,"logística, supply chain",0.8337157368659973,True
10,ingeniería en sofware,"ingeniería de perforación, ingeniería de yacimientos, perforación",0.7406880855560303,True
10,programación web,arquitectura de computadoras,0.6169983148574829,True
10,datamining,visualización de datos,0.7774026393890381,True
10,business intelligence,sistemas de información,0.4988950490951538,True
11,análisis en espacios de banach y de hilbert,"matlab, matplotlib",0.5597612261772156,True
11,teoría de operadores lineales y acotados,"cálculo, cálculo numérico",0.5071644186973572,True
11,introducción a la teoría de distribuciones,"distribución eléctrica, generación eléctrica",0.5904465913772583,True
12,electrónica analogica,"electrónica, electrónica analógica, electrónica digital ...",0.7740262150764465,True
12,control y sistemas hmi,control de procesos,0.6835587620735168,True
12,instrumentación,"instrumentación, instrumentación científica",0.8375049829483032,True
13,programación orientada a objetos,"matemática aplicada, programación matemática",0.6053365468978882,True
14,tcp,redes,0.549391508102417,True
15,termodinámica,"termodinámica, termodinámica química",0.8636063933372498,True
15,transferencia de calor,"tratamiento de aguas, tratamientos térmicos",0.5858722925186157,True
15,sistemas de vapor,"termodinámica, termodinámica química",0.5138390064239502,True
15,control de sistemas mecánicos,control de procesos,0.6920318603515625,True
16,yacimientos minerales y metalogenia,"corrosión, regresión",0.535188615322113,True
16,geología del petróleo,"modelado ambiental, modelado geológico",0.5564537048339844,True
16,vulcanologia,"modelado ambiental, modelado geológico",0.49866241216659546,True
16,geotécnia,"geofísica, geomecánica, geotecnia",0.8564027547836304,True
17,software seguro,"ciberseguridad, seguridad informática",0.58507239818573,True
17,interacción humano computador,arquitectura de computadoras,0.5643225908279419,True
17,juegos interactivos,"teoría cuántica, teoría de juegos, teoría de números",0.4294775128364563,False
17,aplicaciones web,arquitectura de computadoras,0.5333574414253235,True
17,aplicaciones móviles,"telefonía ip, voz sobre ip",0.3940960466861725,False
17,sistemas embebidos,sistemas de información,0.6538718938827515,True
18,desarrollo de aplicaciones web y móviles,"css, desarrollo web, html ...",0.49778807163238525,True
19,econometría,"econometría, modelos econométricos",0.8846750855445862,True
20,transferencia de calor,"tratamiento de aguas, tratamientos térmicos",0.5858722925186157,True
21,aplicaciones estructurales,"cálculo estructural, diseño estructural, geología estructural",0.7142598032951355,True
22,dinámica,modelado,0.6763759851455688,True
23,programación plc,"ingeniería de procesos, ingeniería de producción, ingeniería de software",0.627251148223877,True
23,instrumentaciones y redes industriales,redes,0.6602247357368469,True
24,diseño de proyectos estructurales e hidráulicos,planificación de obras,0.6856154203414917,True
25,ensayos no destructivos,"corrosión, regresión",0.6053988337516785,True
25,ciencia de materiales,"mecánica clásica, mecánica de materiales",0.7711101770401001,True
25,procesos de manufactura,producción,0.781731367111206,True
25,soldadura,"arcgis, qgis",0.6895371675491333,True
26,telemática,"telefonía ip, voz sobre ip",0.6200430393218994,True
26,redes ópticas,"fibra óptica, óptica",0.7368940711021423,True
26,y programación,"matemática aplicada, programación matemática",0.6339701414108276,True
