Edad,Genero,3. Evaluación de Habilidades Blandas,S5_Gestion_Proyectos,S1_Comunicacion_Esp,RAW_Jul_Liderazgo,RAW_Jul_Equipo,S2_Compromiso_Etico,S4_Resp_Social,S6_Aprendizaje_Digital,4. Inserción Laboral,TARGET_Evento,4.1.2 País:,4.1.3 ¿A qué tipo pertenece la institución en la que laboras?,4.1.4 Modalidad de trabajo:,TARGET_Tiempo,"4.1.6 En una escala del 1 al 4 donde 1 es totalmente sin relación, y 4 es totalmente con relación ¿Cómo calificas la correspondencia entre tu formación académica y tu trabajo actual?",4.1.7 ¿Consideras que la formación académica ha contribuido a un mejor desempeño en tu vida profesional / laboral?,"4.1.8 ¿Consideras que la formación en habilidades blandas (gestión, comunicación efectiva, liderazgo, trabajo en equipo, ética profesional, responsabilidad social, aprendizaje autónomo) recibida en la EPN fue suficiente para enfrentar los desafíos del entorno laboral?",UTILIDAD_S5_Gestion,UTILIDAD_S1_Comunicacion,TEMP_UTIL_Lid,TEMP_UTIL_Equ,UTILIDAD_S2_Etica,UTILIDAD_S4_Resp_Social,UTILIDAD_S6_Aprendizaje_Digital,4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Todas las anteriores],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Otro],4.1.10 ¿Consideras que las prácticas preprofesionales y pasantías han contribuido a un mejor desempeño en tu vida profesional / laboral?,4.1.11 Rango salarial mensual (USD):,4.1.12 ¿Estas actualmente buscando trabajo?,4.1.13 ¿Por cuanto tiempo has estado buscando trabajo?,4.1.14 ¿Ha identificado alguna brecha o déficit en su formación académica que considere ha dificultado su inserción laboral?,TXT_Brecha_Formacion,4.2 ¿Conoces o has utilizado la Bolsa de Empleo de la EPN?,TXT_Hard_Skills,"6.2 ¿Qué temas/áreas/contenido consideras que debieron incluirse en tu proceso de formación? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Importancia de las buenas prácticas de TICS, TICS, Cobit",6.3 ¿Qué recomendaciones darías para mejorar la formación en tu carrera?,6.4 ¿Qué habilidades blandas crees que debieron ser fortalecidas mejor durante tu formación?,"6.5 Si pudieras agregar una habilidad blanda a tu formación académica, ¿cuál sería y cómo la aplicarías en tu carrera profesional?",carrera,anioGraduacion,S3_Trabajo_Equipo_Liderazgo,UTILIDAD_S3_Trabajo_Equipo_Liderazgo,Cohorte,S_Comunicacion_Ingles,4.1.1 Institución/Empresa donde trabajas:,6. Retroalimentación Abierta,T_Lower,T_Upper,Event,Facultad,TARGET_Evento_Num,carrera_homologada,Utilidad_HB_Promedio,HB_Nivel_Promedio,HB_Nivel_Total,carrera_clean,S7_Ingles,TXT_Skills_Limpio,BERT_PCA_0,BERT_PCA_1,BERT_PCA_2,BERT_PCA_3,BERT_PCA_4,BERT_PCA_5,BERT_PCA_6,BERT_PCA_7,BERT_PCA_8,BERT_PCA_9,BERT_PCA_10,BERT_PCA_11,BERT_PCA_12,BERT_PCA_13,BERT_PCA_14,BERT_PCA_15,BERT_PCA_16,BERT_PCA_17,BERT_PCA_18,BERT_PCA_19,BERT_PCA_20,BERT_PCA_21,BERT_PCA_22,BERT_PCA_23,BERT_PCA_24,BERT_PCA_25,BERT_PCA_26,BERT_PCA_27,BERT_PCA_28,BERT_PCA_29,BERT_PCA_30,BERT_PCA_31,BERT_PCA_32,BERT_PCA_33,BERT_PCA_34,BERT_PCA_35,BERT_PCA_36,BERT_PCA_37,BERT_PCA_38,BERT_PCA_39,BERT_PCA_40,BERT_PCA_41,BERT_PCA_42,BERT_PCA_43,BERT_PCA_44,BERT_PCA_45,BERT_PCA_46,BERT_PCA_47,BERT_PCA_48,BERT_PCA_49,BERT_PCA_50,BERT_PCA_51,BERT_PCA_52,BERT_PCA_53,BERT_PCA_54,BERT_PCA_55,BERT_PCA_56,BERT_PCA_57,BERT_PCA_58,BERT_PCA_59,BERT_PCA_60,BERT_PCA_61,BERT_PCA_62,BERT_PCA_63,BERT_PCA_64,BERT_PCA_65,BERT_PCA_66,BERT_PCA_67,BERT_PCA_68
23,Masculino,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,4.0,Si,Si,0.0,1.0,Sí,Sí,0.0,0.0,1.0,No,,Si,De $1001 a $1500,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Hidráulica,TICS,Ser más estrictos,La  expresión en público,Ninguna,(RRA20) INGENIERÍA CIVIL,2025,5.0,1,Julio,,,,0.0,6.0,1.0,FIC (Civil),1,(RRA20) INGENIERÍA CIVIL,0.5,5.0,5.0,INGENIERÍA CIVIL,,hidraulica,-1.5380063,0.9611362,0.80144304,1.0521134,1.7283673,-0.90766186,-0.35107085,2.0072672,0.35353154,-1.7309949,-0.57372063,-0.7606462,0.3624137,-0.5578172,-0.46680126,-0.64176345,0.0048735645,-0.13121286,-0.023515983,-0.4136768,0.25089422,0.4789733,0.38265276,-0.38138333,-0.41738537,0.41363207,0.25225323,0.08897174,0.33163598,0.8370251,0.05964829,0.35598105,-0.4403484,-0.008667561,0.031466227,0.13753454,-0.1565335,-0.22217847,-0.035186604,-0.26112875,0.03878751,-0.27132466,0.12664185,0.02270828,0.28575775,0.12176805,0.36283025,0.28046954,0.19302574,0.10026835,0.089012854,0.080914706,0.19671567,0.098280065,-0.04864325,-0.1400597,-0.20164827,0.0995323,-0.16270408,0.07133227,0.0825792,-0.12661028,0.1427665,0.06294096,0.08701525,-0.06333712,-0.10466682,0.09149672,-0.1969529
24,Masculino,,3.0,3.0,3.0,3.0,3.0,4.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Si,1.0,1.0,Sí,Sí,1.0,1.0,1.0,Sí,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Control industrial, PLCs, instalaciones eléctricas y potencia.","Liderazgos, emorendimiento, formación empresarial.",Mas practica.,Formación de liderazgo y ventas.,Liderazgo: poder comunicar y guiar a la gente del trabajo.,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025,3.0,1,Julio,,,,0.0,6.0,1.0,FIE (Eléctrica),1,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,1.0,3.5,3.5,ELECTRÓNICA Y AUTOMATIZACIÓN,,"control industrial, plcs, instalaciones electricas y potencia",0.109402776,-0.021332253,-1.939415,-0.57464814,1.3367083,0.6239708,1.2339388,0.36796057,-0.44780824,-0.21360815,-0.56274503,-0.34733018,-0.36118323,-0.5139375,0.42313865,0.033665683,0.100428425,-0.27733153,-0.08046322,0.06275675,0.007936744,-0.38743022,-0.16701049,0.2446972,0.017912043,0.11207582,0.30058613,-0.1978676,0.14484411,-0.018624028,0.06587862,-0.15187494,-0.13180722,0.31419212,0.026033103,0.1274389,0.012590669,-0.08985057,0.0075395075,0.055594802,-0.31110433,0.19142659,0.28747806,-0.08413483,0.024265565,0.032591254,0.0465357,-0.014180779,-0.09553767,0.059179205,-0.04426669,0.019552562,-0.08577225,0.17509995,0.005570101,0.19172034,0.22229579,-0.15567313,-0.056752156,0.011142156,0.06923807,0.23679438,-0.055561364,0.07096361,-0.08169222,-0.11195157,0.15662187,-0.02426159,0.11419475
27,Masculino,,3.0,4.0,3.0,4.0,5.0,3.0,4.0,,No,,,,,,,,,,,,,,,,,,,Si,De 6 meses a 1 año,Sí,Los profesores solo se enfocan en enseñar los temas y cumplir su sílabo más no se interesan en enseñar algo en la industria o de generar proyectos útiles para los estudiantes solo ejercicios y temas sin razón solo por tener notas,"d) No, pero me gustaría conocer más sobre cómo acceder",Robótica y todo lo relacionado a PLCs,Importancia en el acercamiento de estudiantes a empresas más no únicamente a los laboratorios de la facu,Realizar un sílabo enfocado al estudiante no solo a que se cumpla con una extensa variedad de temas,Comunicación efectiva y liderazgo,"Liderazgo, muchas veces solo hacen incomodar o en ocasiones denigrar al estudiante, volviéndolo inseguro de compartir ideas, por lo q el liderazgo podría ser una alternativa muy buena que desarrollaría más habilidades relacionadas",(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025,3.5,0,Julio,,,,6.0,inf,0.0,FIE (Eléctrica),0,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,0.0,3.75,3.75,ELECTRÓNICA Y AUTOMATIZACIÓN,,robotica y todo lo relacionado a plcs,0.9246853,1.0075492,-0.35006917,0.45839858,-0.17267653,0.63551396,-0.6821762,0.7702661,-0.47966123,0.025603054,-0.462801,0.522814,0.21261328,-0.73143446,-0.33022687,0.1437086,0.2803037,-0.63838637,0.046781242,-0.90343493,-0.3212642,0.36155128,-0.23676905,0.23124407,0.048887603,-0.4354079,-0.45838484,-0.33297488,0.4626976,0.2940778,-0.22605145,0.2458445,-0.32107115,-0.11405654,0.09230711,-0.32033908,-0.04417211,0.079164475,0.05938944,-0.08025176,0.03754417,-0.038183432,0.07234983,-0.28744107,-0.1459388,0.16587876,-0.26470327,0.11500349,-0.06977513,-0.3758853,0.038008124,-0.44895443,0.20987011,-0.13576004,-0.24657167,0.03681993,0.3000637,0.038863685,-0.8386914,-0.44569418,-0.1378802,0.5199817,-0.14240387,-0.07843217,-0.16513263,-0.22650757,0.15516897,-0.032282952,0.062492523
25,Masculino,,2.0,3.0,2.0,2.0,2.0,2.0,4.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,1.0,Si,Parcialmente,1.0,0.0,No,No,0.0,1.0,1.0,No,,Si,De $461 a $1000,,,,,c) No la conozco,Electrónica,Robótica,Más práctico,Todo,Ninguna,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025,2.0,1,Julio,,,,0.0,6.0,1.0,FIE (Eléctrica),1,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,0.6666666666666666,2.5,2.5,ELECTRÓNICA Y AUTOMATIZACIÓN,,electronica,2.0872943,1.7218766,0.5792264,-0.7840671,1.33857,-0.14475557,0.08106389,0.10684981,-0.10771636,0.7736039,-0.8880821,1.0737457,0.9042445,0.22129382,-0.19175254,-0.39978832,-0.4404839,-0.111322306,-0.56698364,-0.005120352,-0.78019726,0.4335079,-0.1681789,-0.19418855,-0.06004399,-0.20796424,0.44256637,0.36720294,-0.3580305,0.019664014,0.7025393,-0.12583466,0.47663364,-0.5477339,0.06820547,0.03786206,-0.32173792,-0.46415877,0.15893601,-0.19992419,0.15984294,0.2187974,-0.6924962,-0.09655968,-0.0254445,-0.058558088,0.08021557,-0.10611907,0.24597739,0.044625282,0.06969565,0.046212476,0.16507347,0.024718042,0.033016104,0.18219723,-0.29399154,-0.034460817,0.20276439,-0.21169312,0.117658414,-0.23737425,-0.029143093,-0.014232105,0.39182955,0.07611236,-0.3381323,-0.050959144,-0.2374474
24,Masculino,,4.0,3.0,3.0,3.0,4.0,4.0,4.0,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes",Diseño de Proyectos Estructurales,TICs,Vincular más a los estudiantes con el campo laboral,Presentación y dirección,Oratoria,(RRA20) INGENIERÍA CIVIL,2025,3.0,0,Julio,,,,6.0,inf,0.0,FIC (Civil),0,(RRA20) INGENIERÍA CIVIL,0.0,3.6666666666666665,3.6666666666666665,INGENIERÍA CIVIL,,diseno de proyectos estructurales,-1.1152864,0.62528944,0.25054038,2.764104,-0.35792926,0.048016507,1.8910072,0.017079804,0.5705267,1.2550745,0.20922711,0.07233909,0.022072937,0.57012683,0.47405532,-0.19318233,0.15841803,0.015533956,0.35044473,0.19076972,-0.1954787,0.010307622,0.05543158,0.47945634,-0.40220818,0.02315918,-0.343967,0.37902045,0.17444007,-0.10616582,0.09373015,-0.05102856,0.44206563,0.024480896,-0.064132445,0.06821007,0.2930318,0.03666586,0.116730824,-0.060539745,-0.124644645,-0.33365804,-0.17443556,0.12406629,-0.18084191,0.11880749,0.106425054,0.19484702,-0.019045651,-0.09741106,0.042232398,0.14396657,-0.051661413,0.00022635725,-0.037689593,-0.072109945,-0.1931421,0.2507773,-0.15474911,-0.06354587,0.11523987,0.063623905,0.13096529,0.108593956,-0.110403106,-0.10145493,-0.053856365,0.09280565,0.064025074
23,Femenino,,3.0,3.0,4.0,4.0,5.0,5.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,4.0,Si,Parcialmente,0.0,0.0,Sí,Sí,1.0,0.0,1.0,No,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Optimización de procesos,"TICs, manejo de Sap",Ser más prácticos que técnicos,Comunicación afectiva,Una mejor comunicación y liderazgo,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025,4.0,1,Julio,,,,6.0,12.0,1.0,FIM (Mecánica),1,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,0.5,4.166666666666667,4.166666666666667,INGENIERÍA DE LA PRODUCCIÓN,,optimizacion de procesos,0.5654288,0.07879866,0.057537623,0.5941856,0.35675925,2.2385292,-0.5600614,0.7357524,0.5781203,0.09810218,0.71400726,-0.37855527,-0.38770217,0.96995384,-0.22782247,-0.34073073,-0.34141573,0.6797681,-0.3757284,0.46735504,0.40053675,-0.021612918,0.3948063,-0.64053994,0.91360664,0.016196448,-0.43649888,-0.67980003,-0.681502,0.11030829,-0.60188365,-0.2364861,-0.020238983,-0.040072735,0.86264086,-0.029652942,0.17820653,0.13200067,-0.36117393,0.12394508,0.3354213,0.2635061,0.004047841,0.12133206,-0.36411455,-0.31918386,0.5550561,0.3414915,0.386861,-0.11570679,-0.060313914,-0.25149167,0.0029932605,-0.016339002,0.22069119,-0.10252877,-0.009572403,0.22256978,0.33530575,-0.5812682,0.26676702,0.19730152,-0.23174213,0.53434485,-0.124116324,0.038077127,-0.033728972,-0.14834878,-0.48818436
23,Femenino,,3.0,3.0,3.0,4.0,3.0,4.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Parcialmente,0.0,0.0,No,No,0.0,0.0,0.0,Sí,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Gestión de procesos, calidad, logística y distribución, programación, proyectos, cadena de suministro",Más a profundidad el tema de proyectos,Que se fomente más las habilidades blandas,"Inteligencia emocional, liderazgo","Inteligencia emocional, charlas y conscientizacion",(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025,3.5,1,Julio,,,,0.0,6.0,1.0,FIM (Mecánica),1,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,0.1666666666666666,3.583333333333333,3.583333333333333,INGENIERÍA DE LA PRODUCCIÓN,,"gestion de procesos, calidad, logistica y distribucion, programacion, proyectos, cadena de suministro",0.13234067,-0.7466262,-1.2184998,0.84380823,0.35247156,1.3455708,-0.40225542,-1.1228849,0.26919076,-0.61746114,0.036267027,-0.6827524,0.15610942,0.25208724,0.023127308,0.084356464,-0.2435901,0.15675807,0.051747743,-0.55523396,-0.12517734,-0.26292792,0.258417,-0.14611384,0.04893188,-0.106585,-0.02914196,0.57613754,0.23981337,-0.23359475,0.28049484,0.6139288,0.13844241,-0.3277336,0.25338835,-0.10619221,0.22673683,-0.058737833,-0.050828826,-0.20007606,0.063874155,0.08352035,-0.008549525,0.011057705,0.28936577,-0.12030749,-0.10313542,-0.026465954,0.0832838,0.041549087,0.20528647,-0.26819736,-0.07984832,0.06652262,-0.05662244,0.0070205363,-0.10960592,-0.06746058,-0.07642887,0.15631355,-0.06998704,-0.02940851,0.09130177,0.10077828,0.08440535,0.051447857,-0.051565707,-0.10627052,0.048437737
29,Masculino,,3.0,3.0,3.0,4.0,4.0,3.0,5.0,,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,3.0,Si,Parcialmente,1.0,0.0,Sí,No,0.0,0.0,0.0,No,,Si,De $1001 a $1500,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Ingeniería en sofware, Programación web, Datamining, Business intelligence","IA, analitica de datos, manejo de datos masivos, experiencia de usuario",Estar a la vanguardia en las nuevas tecnologias en general,La interración con el campo laboral,Manejo y control del tiempo en los proyectos para manejar entragas,(RRA20) COMPUTACIÓN,2025,3.5,1,Julio,,,,0.0,6.0,1.0,FIS (Sistemas),1,(RRA20) COMPUTACIÓN,0.3333333333333333,3.583333333333333,3.583333333333333,COMPUTACIÓN,,"ingenieria en sofware, programacion web, datamining, business intelligence",1.4892355,-0.2751321,-0.37429923,0.47261104,-1.019765,0.05744814,-0.771019,0.20933197,-0.10037384,0.52195024,-0.8297669,0.11088949,0.8205927,-0.34975758,-0.10463569,-0.22233757,-0.08773828,-0.042691827,0.18908978,-0.09659735,0.18730505,0.076842174,0.073042065,-0.09948854,0.22381909,-0.031212652,-0.027426502,-0.15847199,0.1643299,-0.07596034,0.04219042,-0.21264714,-0.152953,-0.051603,0.12200829,-0.047665954,-0.052917305,-0.43802035,0.13518022,-0.03793978,-0.1631013,0.03356901,0.06283645,-0.10910363,-0.046546154,0.0056267576,0.048443954,-0.056998305,-0.096008286,0.29938632,-0.15675299,0.025273122,-0.049836665,0.04770117,0.1482119,-0.076256104,-0.12352884,-0.042585287,-0.036922317,0.008543175,0.13144493,-0.07253942,0.030303301,0.113881655,0.069509335,-0.005676761,0.07677688,-0.03446736,-0.16066636
23,Masculino,,3.0,3.0,3.0,3.0,4.0,3.0,5.0,,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,4.0,Si,Parcialmente,0.0,1.0,No,Sí,1.0,0.0,1.0,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado","Análisis en espacios de Banach y de Hilbert, Teoría de operadores lineales y acotados, Introducción a la teoría de Distribuciones",Optativas para complementar las materias,Realizar intercambios estudiantiles,"Liderazgo, comunicación efectiva",Inteligencia emocional,(RRA20) MATEMÁTICA,2025,3.0,1,Julio,,,,0.0,6.0,1.0,Ciencias,1,(RRA20) MATEMÁTICA,0.6666666666666666,3.5,3.5,MATEMÁTICA,,"analisis en espacios de banach y de hilbert, teoria de operadores lineales y acotados, introduccion a la teoria de distribuciones",-0.045230065,-0.060707208,0.73528665,-0.6179033,-0.31359163,-0.08750133,0.13282035,0.25952178,-0.5327319,-0.41805497,1.2462096,-0.91730887,-0.53879696,-0.046365574,0.17485479,0.59027743,-0.32323223,0.082243994,-0.7185235,0.24472408,0.07008618,-0.416762,0.034753956,0.3366557,0.34053177,-0.010441246,0.14958781,0.16567275,0.30648324,-0.14100222,0.2619947,-0.072819315,-0.34286782,-0.3485917,0.5893523,0.0942892,-0.178896,-0.93080163,0.2919997,-0.11433194,-0.10714874,-0.17148392,0.20168404,-0.3061242,0.27463967,-0.45449236,-0.21761408,0.041270223,0.26438513,0.1227931,-0.24416669,0.4344177,0.24449857,-0.14619716,0.013805084,0.04182985,0.09160356,-0.17026435,0.24377957,-0.19215778,0.14044654,0.17876573,-0.091234915,-0.04639456,0.13631116,0.06939733,0.26027218,-0.24561597,0.32100955
26,Masculino,,4.0,3.0,5.0,5.0,5.0,5.0,5.0,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Electrónica analogica, Control y sistemas HMI, Instrumentacion",Finanzas por ejemplo,Mas horas de clase para tener mas temas y prácticas,Liderazgo,Responsabilidad,(RRA20) ELECTROMECÁNICA,2025,5.0,0,Julio,,,,6.0,inf,0.0,FIM (Mecánica),0,(RRA20) ELECTROMECÁNICA,0.0,4.5,4.5,ELECTROMECÁNICA,,"electronica analogica, control y sistemas hmi, instrumentacion",0.95924205,1.506132,-0.7389065,-0.6978638,0.26693112,0.20863628,-0.3273842,0.19980158,-0.8030602,0.1306321,0.15760541,0.42360467,-0.22248462,0.2116204,0.13753805,-0.10520023,0.20493199,-0.68473494,-0.71413976,0.12119613,-0.24925576,-0.21293025,0.034088403,-0.119761445,-0.10844792,0.12977634,0.19073012,0.43179187,-0.057775754,-0.25206813,0.09020234,-0.46666044,-0.116687,-0.8336644,-0.487906,0.36018416,-0.15570459,0.11301227,0.12820226,-0.02964831,0.111174196,0.044244345,-0.14805524,0.54958487,0.25195327,-0.09166252,0.03526266,0.12325925,-0.039771087,-0.007118854,0.2283254,-0.095569834,0.13803385,0.024456784,0.15363717,-0.087653905,-0.19580609,0.0744507,-0.035904765,-0.2093231,-0.08771494,0.15826924,0.05524097,-0.12487411,0.089836456,-0.032549463,-0.2290076,-0.17348625,-0.05474195
