norm,total_count,n_variants,canonical_suggested,variants,has_accent_variant,has_unaccent_variant
ingenieria,60,3,ingeniería,ingeniería(53) | ingenieria(6) | ingenieríá(1),True,True
econometria,33,3,econometría,econometria(17) | econometría(15) | económetria(1),True,True
mecanico,17,3,mecánico,mecánico(14) | mecanico(2) | mécanico(1),True,True
macroeconomia,12,3,macroeconomía,macroeconomía(9) | macroeconomia(2) | macroeconómia(1),True,True
programacion,118,2,programación,programación(106) | programacion(12),True,True
diseno,111,2,diseño,diseño(110) | diseno(1),True,True
gestion,80,2,gestión,gestión(65) | gestion(15),True,True
mecanica,80,2,mecánica,mecánica(75) | mecanica(5),True,True
estadistica,38,2,estadística,estadística(31) | estadistica(7),True,True
maquinas,37,2,máquinas,máquinas(26) | maquinas(11),True,True
analisis,33,2,análisis,análisis(27) | analisis(6),True,True
hormigon,31,2,hormigón,hormigón(26) | hormigon(5),True,True
moviles,31,2,móviles,móviles(21) | moviles(10),True,True
electricas,29,2,eléctricas,eléctricas(21) | electricas(8),True,True
termodinamica,27,2,termodinámica,termodinámica(24) | termodinamica(3),True,True
hidraulica,26,2,hidráulica,hidráulica(23) | hidraulica(3),True,True
instrumentacion,24,2,instrumentación,instrumentación(21) | instrumentacion(3),True,True
energia,23,2,energía,energía(22) | energia(1),True,True
agiles,21,2,ágiles,ágiles(19) | agiles(2),True,True
metodologias,21,2,metodologías,metodologías(19) | metodologias(2),True,True
electronica,19,2,electrónica,electrónica(15) | electronica(4),True,True
fiscalizacion,19,2,fiscalización,fiscalización(18) | fiscalizacion(1),True,True
hidraulicos,19,2,hidráulicos,hidráulicos(18) | hidraulicos(1),True,True
calculo,17,2,cálculo,cálculo(12) | calculo(5),True,True
electricos,17,2,eléctricos,eléctricos(15) | electricos(2),True,True
produccion,17,2,producción,producción(15) | produccion(2),True,True
quimica,17,2,química,química(15) | quimica(2),True,True
automatizacion,16,2,automatización,automatización(15) | automatizacion(1),True,True
evaluacion,16,2,evaluación,evaluación(14) | evaluacion(2),True,True
distribucion,15,2,distribución,distribución(14) | distribucion(1),True,True
fisica,15,2,física,física(14) | fisica(1),True,True
tecnologias,15,2,tecnologías,tecnologías(13) | tecnologias(2),True,True
dinamica,14,2,dinámica,dinámica(13) | dinamica(1),True,True
teoria,14,2,teoría,teoría(12) | teoria(2),True,True
telematica,13,2,telemática,telemática(12) | telematica(1),True,True
interaccion,11,2,interacción,interacción(8) | interaccion(3),True,True
logistica,10,2,logística,logística(6) | logistica(4),True,True
generacion,9,2,generación,generación(6) | generacion(3),True,True
comunicacion,8,2,comunicación,comunicación(6) | comunicacion(2),True,True
informacion,8,2,información,información(7) | informacion(1),True,True
sismica,8,2,sísmica,sísmica(5) | sismica(3),True,True
administracion,7,2,administración,administración(6) | administracion(1),True,True
algebra,7,2,álgebra,álgebra(6) | algebra(1),True,True
inalambricas,7,2,inalámbricas,inalámbricas(5) | inalambricas(2),True,True
petrografia,7,2,petrografía,petrografía(6) | petrografia(1),True,True
analitica,6,2,analítica,analítica(5) | analitica(1),True,True
auditoria,6,2,auditoría,auditoria(4) | auditoría(2),True,True
electromecanico,6,2,electromecánico,electromecánico(5) | electromecanico(1),True,True
estatica,6,2,estática,estática(5) | estatica(1),True,True
geotecnia,6,2,geotécnia,geotecnia(5) | geotécnia(1),True,True
informatica,6,2,informática,informática(5) | informatica(1),True,True
refrigeracion,6,2,refrigeración,refrigeracion(3) | refrigeración(3),True,True
etico,5,2,ético,ético(4) | etico(1),True,True
topografia,5,2,topografía,topografía(4) | topografia(1),True,True
mineria,4,2,minería,minería(3) | mineria(1),True,True
movil,4,2,móvil,móvil(3) | movil(1),True,True
numericos,4,2,numéricos,numericos(2) | numéricos(2),True,True
planificacion,4,2,planificación,planificación(3) | planificacion(1),True,True
electronicos,3,2,electrónicos,electrónicos(2) | electronicos(1),True,True
formulacion,3,2,formulación,formulación(2) | formulacion(1),True,True
inalambricos,3,2,inalámbricos,inalámbricos(2) | inalambricos(1),True,True
metrologia,3,2,metrología,metrología(2) | metrologia(1),True,True
robotica,3,2,robótica,robótica(2) | robotica(1),True,True
tecnicas,3,2,técnicas,tecnicas(2) | técnicas(1),True,True
biomedica,2,2,biomédica,biomedica(1) | biomédica(1),True,True
electromecanica,2,2,electromecánica,electromecanica(1) | electromecánica(1),True,True
instalacion,2,2,instalación,instalacion(1) | instalación(1),True,True
metalicas,2,2,metálicas,metalicas(1) | metálicas(1),True,True
modelacion,2,2,modelación,modelacion(1) | modelación(1),True,True
operacion,2,2,operación,operacion(1) | operación(1),True,True
publica,2,2,pública,publica(1) | pública(1),True,True
de,803,1,de,de(803),False,True
y,256,1,y,y(256),False,True
aplicaciones,110,1,aplicaciones,aplicaciones(110),False,True
sistemas,97,1,sistemas,sistemas(97),False,True
web,96,1,web,web(96),False,True
software,79,1,software,software(79),False,True
datos,76,1,datos,datos(76),False,True
proyectos,73,1,proyectos,proyectos(73),False,True
redes,69,1,redes,redes(69),False,True
la,63,1,la,la(63),False,True
calidad,62,1,calidad,calidad(62),False,True
control,57,1,control,control(57),False,True
desarrollo,57,1,desarrollo,desarrollo(57),False,True
en,50,1,en,en(50),False,True
procesos,48,1,procesos,procesos(48),False,True
materiales,47,1,materiales,materiales(47),False,True
bases,43,1,bases,bases(43),False,True
estructuras,40,1,estructuras,estructuras(40),False,True
calor,39,1,calor,calor(39),False,True
del,38,1,del,del(38),False,True
transferencia,37,1,transferencia,transferencia(37),False,True
a,35,1,a,a(35),False,True
ambiental,35,1,ambiental,ambiental(35),False,True
agua,34,1,agua,agua(34),False,True
artificial,34,1,artificial,artificial(34),False,True
inteligencia,34,1,inteligencia,inteligencia(34),False,True
seguridad,34,1,seguridad,seguridad(34),False,True
industrial,33,1,industrial,industrial(33),False,True
fluidos,31,1,fluidos,fluidos(31),False,True
ii,29,1,ii,ii(29),False,True
industriales,26,1,industriales,industriales(26),False,True
estructurales,25,1,estructurales,estructurales(25),False,True
i,25,1,i,i(25),False,True
potencia,24,1,potencia,potencia(24),False,True
cad,22,1,cad,cad(22),False,True
aplicada,20,1,aplicada,aplicada(20),False,True
balance,20,1,balance,balance(20),False,True
masa,18,1,masa,masa(18),False,True
alcantarillado,17,1,alcantarillado,alcantarillado(17),False,True
legislacion,17,1,legislación,legislación(17),True,False
suelos,17,1,suelos,suelos(17),False,True
computacionales,16,1,computacionales,computacionales(16),False,True
