topic,n,events,coef,HR,CI95_low,CI95_high,se,z,p,q,sig_fdr_0p05
"etl, latex, lte",665,355,0.210337999304149,1.2340951127603608,1.1228730787230676,1.3563338334471018,0.04818830882456925,4.364917641536037,1.2717066248728182e-05,0.0004469335169603826,True
visualización de datos,665,355,0.18655198677233584,1.2050872690547765,1.1074291120391977,1.3113573683861195,0.043118533676344696,4.326491901896013,1.5150288710521443e-05,0.0004469335169603826,True
"finanzas, mercados financieros",665,355,-0.24033944739985655,0.7863608875987479,0.6960823652919251,0.8883480984118302,0.0622194276399118,-3.862771750180588,0.00011210774573870835,0.0022047856661945972,True
"legislación ambiental, normas ambientales",665,355,-0.20907556802061433,0.8113339224282062,0.7235842737778783,0.9097250417645317,0.05840040525644732,-3.580036253216457,0.0003435465410730999,0.005067311480828224,True
"aws, wireless",665,355,0.1683027389626548,1.183294785864266,1.072786767754662,1.3051862609977407,0.050022868345784406,3.364515960965246,0.0007667804909022394,0.009048009792646425,True
"react, revit",665,355,0.1613300928293056,1.1750727879033989,1.0667330674451423,1.2944157249930524,0.049352602222489016,3.2689277882857133,0.0010795584922481073,0.010615658507106388,True
"java, python",665,355,0.15506377709107672,1.1677324333080419,1.0588864273780747,1.2877670357678959,0.049922326202115105,3.1061007947283312,0.0018957208492813857,0.01597821858680025,True
"tratamiento de aguas, tratamientos térmicos",665,355,-0.1856447987638989,0.8305685615723198,0.7348935423427073,0.9386994111735075,0.06244238813120646,-2.973057314429015,0.0029484938816604902,0.021745142377246115,True
control de procesos,665,355,-0.16530994544297417,0.8476309440209535,0.7579217855204347,0.9479582603216801,0.05707509904895362,-2.8963584504897124,0.0037752091090944213,0.02324349510754253,True
"ingeniería de perforación, ingeniería de yacimientos, perforación",665,355,-0.16937019197741618,0.8441963308246412,0.752378650034698,0.947219122904299,0.05874871513277004,-2.8829599352878694,0.003939575441956361,0.02324349510754253,True
"crm, scrum",665,355,0.13919966052425178,1.1493535576298948,1.040663713754175,1.269395274359057,0.05068509697461128,2.7463627147439102,0.006026010033262255,0.032321326542043005,True
"css, desarrollo web, html ...",665,355,0.1339911125263543,1.1433826578162523,1.036859082689361,1.2608501232434361,0.04989636681433861,2.6853881571162725,0.007244561669185968,0.035619094873497674,True
"gis, git",665,355,0.13275173119517347,1.1419664484887422,1.0320741593319285,1.2635597526423288,0.05162401334817361,2.5715112519408576,0.010125572493596554,0.041908597759973625,True
"termodinámica, termodinámica química",665,355,-0.14740884278184754,0.8629410980460474,0.7706356240822139,0.9663027706301239,0.05772084433688461,-2.5538233973415867,0.010654728244061091,0.041908597759973625,True
"cálculo estructural, diseño estructural, geología estructural",665,355,-0.1606695229141539,0.851573450122112,0.7545237881366798,0.9611060013677309,0.06173529256966538,-2.6025554626285423,0.009253184697569014,0.041908597759973625,True
"modelado de datos, modelado matemático",665,355,0.10800896809344543,1.1140577363155506,1.0224658117832752,1.2138544150242954,0.04377212862231661,2.4675283449290277,0.013604944962053849,0.047250516837299424,True
"geofísica, geomecánica, geotecnia",665,355,-0.15266891707395722,0.858413880948139,0.7603726407387719,0.9690964029012202,0.061877530908154336,-2.4672755171916245,0.013614555698882886,0.047250516837299424,True
"energía renovable, sustentabilidad, trazabilidad",665,355,-0.13408167580038943,0.8745186346768828,0.7841017324563397,0.9753617556758858,0.05568205912161462,-2.4079870233883236,0.016040751170341885,0.05257801772500951,False
redes neuronales,665,355,0.11048497549625062,1.1168195692662588,1.0107958667886292,1.2339642367739279,0.05089224537243275,2.170958948415705,0.02993427566545385,0.09295380338219882,False
"diseño de pcb, diseño de plantas",665,355,-0.11296215576064285,0.8931844613629661,0.8020574561588731,0.9946650029798194,0.05490553789460688,-2.0573909316302066,0.03964863674406243,0.11139378894760397,False
"cálculo, cálculo numérico",665,355,-0.1491020564387245,0.8614811907100678,0.7474523439957115,0.9929058994983823,0.07244147049780833,-2.0582417145057192,0.03956693611587574,0.11139378894760397,False
just in time,665,355,-0.1136648897760521,0.8925570107511968,0.7969561984067977,0.9996258502458707,0.05780242438333674,-1.9664381033958735,0.04924802561891807,0.13207425052346208,False
"matlab, matplotlib",665,355,0.09659147229336382,1.1014103250644536,0.9961556631683018,1.2177862848264804,0.051247481266668705,1.884804285126629,0.05945626622430626,0.1525182481406117,False
"cartografía, topografía",665,355,-0.09345272419883263,0.9107810743133931,0.8191719782177053,1.0126349379434,0.05408696700373372,-1.727823344066999,0.08401990081920492,0.19828696593332362,False
producción,665,355,-0.09993580364340128,0.9048955071660469,0.8083649773138146,1.0129531855898526,0.057555044428848234,-1.7363517765492436,0.08250165343947426,0.19828696593332362,False
"deep learning, inteligencia artificial, machine learning",665,355,0.08077668353673641,1.0841287657301804,0.9867321204922594,1.1911390703459566,0.04802811096271656,1.6818625991649356,0.0925954865966364,0.20879959102421636,False
"administración de empresas, gestión de calidad, gestión de datos ...",665,355,-0.09363360933740338,0.9106163424517801,0.815678255665205,1.016604423841123,0.056175362318673525,-1.6668091752792875,0.09555235521447189,0.20879959102421636,False
"análisis de datos, análisis de materiales, análisis de sistemas ...",665,355,0.07696090824942471,1.0799998564823696,0.9848557680654809,1.1843355421404078,0.047052387629822306,1.6356429955245473,0.10191432631715097,0.21474804473971096,False
"simulación, simulación de procesos",665,355,-0.08860941074799801,0.9152029722162222,0.8166906523824471,1.025598221199145,0.058105906245659165,-1.5249639231746364,0.12726809630619582,0.25892474765743284,False
"arcgis, qgis",665,355,-0.07042177856406433,0.9320006391028919,0.8416339457444337,1.0320700533530538,0.052035815596686866,-1.3533328488570495,0.17594931951651116,0.3460336617158053,False
base de datos,665,355,0.0665437969466473,1.0688077735671446,0.9653852531357353,1.183310034130944,0.05192535628954541,1.2815279798098402,0.20000827863932702,0.3687652637412592,False
"marketing, ventas",665,355,-0.07310146203485396,0.9295065156187231,0.8317887387960418,1.0387040870837179,0.05667212712151237,-1.2899015044576494,0.19708485836706685,0.3687652637412592,False
"logística, supply chain",665,355,0.0637863204194225,1.0658646209214844,0.9653561476661523,1.1768375773839108,0.050533837352379304,1.2622496877613278,0.20685895446609903,0.36983873677272255,False
sistemas de información,665,355,0.060632785219227374,1.0625086736508702,0.9593283210151902,1.1767865670729594,0.05212069764273955,1.1633149202037507,0.2447017543301448,0.4010391244832285,False
"optimización, optimización de procesos",665,355,0.06034302875749361,1.0622008494962045,0.9595186800332419,1.175871474051313,0.05187162865007186,1.16331471225957,0.24470183866773265,0.4010391244832285,False
protocolos de comunicación,665,355,0.05780815774426063,1.0595117170944073,0.9619305735822781,1.166991786610805,0.04929741477930864,1.1726407561745846,0.2409398982962782,0.4010391244832285,False
"ingeniería de procesos, ingeniería de producción, ingeniería de software",665,355,0.057240434484090524,1.0589103783613343,0.9552655978736344,1.17380045078277,0.052555199742215716,1.0891488333191763,0.2760882582300806,0.4231795369168024,False
"telefonía ip, voz sobre ip",665,355,0.05362068995971896,1.0550843221680288,0.958945384673022,1.1608616556034055,0.0487467355127893,1.0999852481537131,0.27133854938856905,0.4231795369168024,False
procesamiento de alimentos,665,355,-0.057611403404798485,0.9440167178516864,0.8503785411734682,1.047965724010058,0.05329806236007651,-1.0809286652032764,0.2797288464365304,0.4231795369168024,False
"electrónica, electrónica analógica, electrónica digital ...",665,355,-0.05697902448752833,0.9446138829190049,0.849558958179168,1.0503042540046277,0.05411268433412798,-1.0529698385632036,0.29235481577458183,0.42388894280819456,False
"matemática aplicada, programación matemática",665,355,-0.07036044943260927,0.9320577996453889,0.8171532360992833,1.0631197473153664,0.06712786246551078,-1.0481556666393086,0.29456689245993184,0.42388894280819456,False
planificación de la producción,665,355,-0.049959748692219696,0.9512677134996352,0.8572276994739741,1.055624151321883,0.053109115338308394,-0.9407000733108237,0.34685858141963677,0.4872537215180612,False
"distribución eléctrica, generación eléctrica",665,355,0.0412425180814072,1.0421048041599796,0.9442380118520123,1.1501151290481115,0.05031701208619416,0.8196535599283569,0.4124136312556642,0.5530091873655497,False
"modelado de reservorios, reservorios",665,355,-0.0485420685167325,0.9526172632675917,0.8495905400485887,1.0681376586697122,0.05839836626436327,-0.8312230567716168,0.4058476318935993,0.5530091873655497,False
control de plagas,665,355,-0.03475426084071635,0.9658427324785074,0.8698580864694686,1.0724188214054065,0.053404521524060736,-0.65077375190148,0.515192546370307,0.6754746719077358,False
"agroindustria, agronomía",665,355,-0.032884029100072855,0.9676507724130871,0.8708451006866996,1.0752176438878653,0.05378013598696953,-0.6114530671331954,0.5408996800369628,0.693762633090887,False
"costos, costos industriales",665,355,-0.03331362020418564,0.9672351675258434,0.8648554592810812,1.0817343629609801,0.05708230650572508,-0.5836067643980792,0.5594849081028341,0.7023321186822812,False
