feature,mean_shap,mean_abs_shap
S1_Comunicacion_Esp,-0.0013639089,0.050178394
S7_Ingles,-0.0009307081,0.00397389
"deep learning, inteligencia artificial, machine learning",-0.0006596835,0.004940216
"agroindustria, agronomía",-0.00035593333,0.0023464134
"gis, git",-0.0003208678,0.0013852194
"corrosión, regresión",-0.00024273762,0.01044393
"logística, supply chain",-0.00021638822,0.01636878
"cartografía, topografía",-0.00013080874,0.00035893018
"energía renovable, sustentabilidad, trazabilidad",-0.0001205003,0.00040231968
modelado,-0.00011447787,0.00025371613
