feature,mean_shap,mean_abs_shap
"react, revit",0.038371757,0.16080084
"estructura de datos, estructuras",0.028930323,0.15207265
"simulación, simulación de procesos",0.018248336,0.12562454
S3_Trabajo_Equipo_Liderazgo,0.017173387,0.043852434
"telefonía ip, voz sobre ip",0.016605835,0.07307335
S4_Resp_Social,0.010343101,0.0403347
"finanzas, mercados financieros",0.009238681,0.05202073
S2_Compromiso_Etico,0.005916414,0.05680816
"análisis de datos, análisis de materiales, análisis de sistemas ...",0.005915576,0.029060453
"optimización, optimización de procesos",0.0053882436,0.034786835
