CARRERA,"administración de empresas, gestión de calidad, gestión de datos ...","agroindustria, agronomía","análisis de datos, análisis de materiales, análisis de sistemas ...","aprendizaje no supervisado, aprendizaje supervisado","arcgis, qgis",arquitectura de computadoras,"aws, wireless",balances de materia y energía,base de datos,buenas prácticas agrícolas,"caracterización, clasificación","cartografía, topografía","ciberseguridad, seguridad informática","comercio exterior, economía internacional",control de plagas,control de procesos,"corrosión, regresión","costos, costos industriales","crm, scrum","css, desarrollo web, html ...","cálculo, cálculo numérico","cálculo estructural, diseño estructural, geología estructural","deep learning, inteligencia artificial, machine learning","diseño de pcb, diseño de plantas","distribución eléctrica, generación eléctrica","econometría, modelos econométricos","electrónica, electrónica analógica, electrónica digital ...","energía renovable, sustentabilidad, trazabilidad","estructura de datos, estructuras","etl, latex, lte","fibra óptica, óptica","finanzas, mercados financieros","geofísica, geomecánica, geotecnia","gis, git","ingeniería de perforación, ingeniería de yacimientos, perforación","ingeniería de procesos, ingeniería de producción, ingeniería de software","instalaciones eléctricas, mediciones eléctricas, protecciones eléctricas","instrumentación, instrumentación científica","java, python",just in time,"legislación ambiental, normas ambientales","logística, supply chain","macroeconomía, microeconomía","marketing, ventas","matemática aplicada, programación matemática","matlab, matplotlib","mecánica clásica, mecánica de materiales",modelado,"modelado ambiental, modelado geológico","modelado de datos, modelado matemático","modelado de reservorios, reservorios","optimización, optimización de procesos",producción,protocolos de comunicación,"react, revit","sensores, sensores remotos","simulación, simulación de procesos",sistemas de información,"telefonía ip, voz sobre ip","teoría cuántica, teoría de juegos, teoría de números","termodinámica, termodinámica química","tratamiento de aguas, tratamientos térmicos",visualización de datos,planificación de la producción,planificación de obras,procesamiento de alimentos,procesamiento de lenguaje natural,redes,redes neuronales
ADMINISTRACIÓN DE EMPRESAS,0.0019821472858387694,0.00019157088122605365,0.0006659683708088785,0.0,0.00019157088122605365,0.0,0.0007397441335154753,0.0,0.0008450480735856511,0.0,0.001028439445125648,0.0,0.0005059575417137266,0.0003973950185606743,0.0,0.00027000825177571336,0.00019157088122605365,0.0011363969245943499,0.0008649650419625033,0.0005370447843136481,0.0005622995833124401,0.0,0.0005027512951031665,0.0,0.0,0.0,0.0006612224302674844,0.00054732555523016,0.0004683414545421875,0.0003312047099299976,0.0,0.0012645045370209458,0.0,0.0003815405831980698,0.0,0.00019157088122605365,0.0,0.00019157088122605365,0.0005021920155907567,0.0,0.0,0.0009326479371670433,0.0,0.0019312943542845623,0.0,0.0,0.0,0.0005482837593560596,0.0,0.00044141570613872195,0.0,0.000868369914917509,0.0013682511017763662,0.00019157088122605365,0.0,0.0,0.0,0.0003316249995890251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008189198690037468,0.0
AGROINDUSTRIA,0.002099322926204939,0.002643298912321562,0.001020837459493574,0.0,0.0,0.0,0.0,0.0,0.0005924170616113745,0.0010254946991488571,0.0026460633456001905,0.0,0.0008378042431120231,0.0,0.0005924170616113745,0.0008326151106110347,0.0,0.0024277952705457984,0.0008374337971262561,0.0005924170616113745,0.0013218506919774593,0.0,0.0,0.0,0.0,0.0,0.0014483209129275798,0.0011808373880476098,0.0016733889173716008,0.0,0.0,0.0011835510010701922,0.0,0.0,0.0,0.0005924170616113745,0.0005924170616113745,0.0,0.0007948108924762287,0.0008378042431120231,0.0,0.002057390902231589,0.0,0.004048124637780146,0.0,0.0,0.0,0.0,0.0,0.0,0.0005924170616113745,0.0008372646983231931,0.005198188080729849,0.0,0.0,0.0,0.0005924170616113745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005924170616113745,0.0,0.0015646317344464769,0.0
CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,0.0007445376727232905,0.00011261802825334722,0.0013990207584029144,0.00018019916761437073,0.0001487888332247124,0.0,0.0008850497419233902,0.0,0.000509709345741881,0.0,0.0005470088811232293,0.0,0.00040278832299475096,0.00014763162634034592,8.590327291469805e-05,0.00014802625475690686,0.0002413125956303241,0.0003694140260462007,0.0006422972746961964,0.0004879521513452945,0.0002530630024268718,0.0,0.003950303457447511,0.0,0.0,0.00012148557360820334,0.0003312062340211738,0.000307628451104138,0.00043990417587580423,0.0005351827002794351,0.00011261802825334722,0.00037148221226777206,0.0,0.0007042495992122174,0.0,0.0006487693192742619,0.0,0.0,0.0016681330473696336,0.00012148557360820333,0.0,0.00046461477371217703,0.0,0.001122934386260995,0.000148204935246497,0.00045845232452974935,0.0,0.0008587049267488555,0.0,0.0004051885553286006,8.590327291469805e-05,0.000787530433961206,0.0009796935423962024,0.00024206439147632884,0.0004250605045598958,0.00023431694518830464,0.00028975384913392183,0.00025279152775600067,0.0,8.590327291469805e-05,0.0,0.0,0.0006765969715396285,0.00012122514716491558,0.0,0.0,0.00032376532590275097,0.0006122276311754191,0.00039714597480817576
COMPUTACIÓN,0.0012526820454776247,0.0,0.001728284078202807,0.0,0.0,0.0003168963512549216,0.001974824781565713,0.0,0.0009434200204739505,0.0,0.0006893866794399821,0.0,0.0006286979915342343,0.000243842965130456,0.0,0.000243842965130456,0.0,0.0006401863564471596,0.0012913625234357918,0.0012025215826612517,0.0,0.0,0.0009969087809849344,0.0,0.0,0.0,0.0008408998606947283,0.0004219540887480065,0.0008429505615634497,0.003088011316936001,0.000243842965130456,0.000686641619091797,0.0,0.0013967151873252768,0.0,0.0005918061818171471,0.000243842965130456,0.0,0.002865358491459466,0.0,0.0,0.0008749924036210165,0.0,0.0018183195092375166,0.0,0.0,0.0,0.0013748293951177748,0.0,0.0013329503338342947,0.000243842965130456,0.000901490160645766,0.0019106293063951719,0.0,0.0007007203914547442,0.0,0.0,0.0008335210850518483,0.000243842965130456,0.0,0.0,0.0,0.00048623907683101114,0.0,0.0,0.0,0.0,0.0011003277909638252,0.0
ECONOMÍA,0.0012684072727030848,0.0005643310304760953,0.0011920684113021468,0.0,0.0003990422984836393,0.0,0.0007974652635081812,0.0,0.0003990422984836393,0.0,0.0007980845969672786,0.0,0.0,0.0005047530183828219,0.0,0.0,0.0,0.0009385562790485578,0.0012018966129643393,0.0003990422984836393,0.0007022621073135576,0.0,0.0005353714231843072,0.0,0.0003990422984836393,0.0,0.0006911615353427283,0.0003990422984836393,0.0,0.0003990422984836393,0.0,0.001282580960726279,0.0,0.0006463608501318948,0.0,0.0,0.0,0.0,0.001506392094388008,0.0,0.0,0.0015788942167925765,0.0005643310304760954,0.003199824994262859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005418142923580625,0.0020222677740920083,0.0,0.0005643310304760953,0.0003990422984836393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005637198853103828,0.0
ELECTRICIDAD,0.0014446163754591995,0.0008368289379644664,0.0,0.0,0.0,0.0,0.0,0.0,0.000484027105517909,0.0,0.0010768070183543863,0.0,0.0,0.000484027105517909,0.0,0.000484027105517909,0.000484027105517909,0.002227945633670141,0.000484027105517909,0.000484027105517909,0.0009912146559074182,0.0,0.0008375267443416992,0.0,0.0018060506275157087,0.0,0.0035084908443297922,0.0014101483217989171,0.0019581579688925043,0.0,0.000484027105517909,0.0008383595389975204,0.0,0.0006837763952506386,0.00068451769717962,0.0,0.003979551959316284,0.002423579916209075,0.0009147252492962906,0.0,0.000484027105517909,0.001365435081170499,0.0,0.0019335836229833212,0.0,0.0,0.0,0.000484027105517909,0.0,0.0,0.0,0.0013514199785985086,0.002759909222555251,0.000484027105517909,0.0009657914421375635,0.001386634165774396,0.0,0.000484027105517909,0.0,0.0,0.0,0.000834663057652016,0.0,0.0,0.000484027105517909,0.000484027105517909,0.0,0.00212696567664474,0.0
ELECTRÓNICA Y AUTOMATIZACIÓN,0.00037760816450608555,0.00015750511891636477,0.0003851535149301885,0.0,0.0,0.0,0.0005662805656482527,0.0,0.00022136624771010028,0.0,0.00038580717322148024,0.0,0.00038776392473443834,0.0003450764262121065,0.0,0.00015750511891636477,0.0,0.00035143864672514585,0.00044460158487836675,0.000375798491068276,0.00015750511891636477,0.0,0.00035193367848932366,0.0,0.00019273031190987876,0.0,0.0012436506990444345,0.00021131529162070784,0.0005678927824010064,0.00015750511891636477,0.00015750511891636477,0.00038580717322148024,0.0,0.00022199449901862082,0.0,0.00022274587531471017,0.00015750511891636477,0.00046915200817903083,0.0005904764393700963,0.0,0.0,0.0006679710979563244,0.0,0.0015593440751087066,0.0,0.0,0.0,0.00022274587531471017,0.0,0.0,0.00015750511891636477,0.00038050251539630057,0.001196701360602552,0.0002514005990348905,0.00038506311246208136,0.00040550962976338665,0.00015750511891636477,0.00015750511891636477,0.0,0.0,0.0,0.00021131529162070776,0.00015750511891636477,0.0,0.0,0.00027241233235365304,0.0,0.0008737623955236079,0.0
FÍSICA,0.001072139850034433,0.0,0.0007992963497868579,0.0,0.0,0.0,0.0008762165813959696,0.0,0.0008762165813959696,0.0,0.0010731417642929847,0.0,0.0006195786864931846,0.0006195786864931846,0.0,0.0006195786864931846,0.0,0.001497529762049084,0.0011949424250186742,0.0,0.0006195786864931846,0.0,0.0015513724005728822,0.0,0.0,0.0,0.0011360983370025982,0.0006195786864931846,0.0006195786864931846,0.0006195786864931846,0.0,0.0014610937636426618,0.0,0.0008762165813959696,0.0006195786864931846,0.0,0.0,0.0,0.0014751858094029183,0.0,0.0,0.0010700912069950197,0.0,0.0036782604146860776,0.0,0.0006195786864931846,0.0,0.0025727046415110464,0.0,0.0010725124238929807,0.0,0.0006195786864931846,0.003132590837481081,0.0,0.0,0.0,0.0010329144510106956,0.0006195786864931846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018006349333457915,0.0
GEOLOGÍA,0.002625242860641286,0.0,0.000931098696461825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018981181232039217,0.0013873238538762436,0.0,0.000931098696461825,0.0,0.0,0.0,0.0016112045791020248,0.0,0.0,0.0,0.000931098696461825,0.0013167724044442224,0.0,0.0,0.0,0.000931098696461825,0.0,0.000931098696461825,0.0,0.0,0.00186219739292365,0.002189453817832402,0.0016112045791020248,0.002147059670283384,0.0013167724044442224,0.0,0.0,0.0,0.0,0.0,0.0016112045791020248,0.0,0.005420937761099273,0.0,0.0,0.0,0.002078403911420167,0.0018593990182575143,0.0,0.0,0.0013167724044442224,0.005603547011305938,0.0,0.0,0.0,0.0,0.000931098696461825,0.0,0.0,0.0,0.000931098696461825,0.0,0.0,0.0,0.0,0.0,0.0018601807167658144,0.0
INGENIERÍA AMBIENTAL,0.0020125785049556304,0.00030349013657056146,0.0010541315308164082,0.0,0.0004925326225985681,0.0,0.0007620226611865356,0.0,0.0005256603361362298,0.0,0.0006772908160540903,0.0,0.0006063229407606934,0.0,0.0,0.00030349013657056146,0.0,0.0009387677747015251,0.0006435131805815503,0.000524166072257955,0.0008380963910129831,0.0,0.0008029594267267347,0.00030349013657056146,0.0,0.0,0.00094350044734459,0.0007059234880975651,0.0006069802731411229,0.00030349013657056146,0.0,0.0008569226942910064,0.0,0.0008001260328230442,0.00030349013657056146,0.0005251695653886417,0.00030349013657056146,0.0,0.0009518598876807196,0.00030349013657056146,0.000923287726450504,0.0010368665324215094,0.0,0.002056261665125468,0.0,0.0,0.0,0.00030349013657056146,0.0,0.0,0.00030349013657056146,0.0006776743891196479,0.0020104275291409077,0.0,0.0,0.0,0.00030349013657056146,0.0004291998671845508,0.0,0.0,0.00030349013657056146,0.000638291476672134,0.0,0.0,0.0,0.0,0.0,0.0009479709935763152,0.0
