,Edad,Genero,3. Evaluación de Habilidades Blandas,S5_Gestion_Proyectos,S1_Comunicacion_Esp,RAW_Jul_Liderazgo,RAW_Jul_Equipo,S2_Compromiso_Etico,S4_Resp_Social,S6_Aprendizaje_Digital,4. Inserción Laboral,TARGET_Evento,4.1.2 País:,4.1.3 ¿A qué tipo pertenece la institución en la que laboras?,4.1.4 Modalidad de trabajo:,TARGET_Tiempo,"4.1.6 En una escala del 1 al 4 donde 1 es totalmente sin relación, y 4 es totalmente con relación ¿Cómo calificas la correspondencia entre tu formación académica y tu trabajo actual?",4.1.7 ¿Consideras que la formación académica ha contribuido a un mejor desempeño en tu vida profesional / laboral?,"4.1.8 ¿Consideras que la formación en habilidades blandas (gestión, comunicación efectiva, liderazgo, trabajo en equipo, ética profesional, responsabilidad social, aprendizaje autónomo) recibida en la EPN fue suficiente para enfrentar los desafíos del entorno laboral?",UTILIDAD_S5_Gestion,UTILIDAD_S1_Comunicacion,TEMP_UTIL_Lid,TEMP_UTIL_Equ,UTILIDAD_S2_Etica,UTILIDAD_S4_Resp_Social,UTILIDAD_S6_Aprendizaje_Digital,4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Todas las anteriores],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Otro],4.1.10 ¿Consideras que las prácticas preprofesionales y pasantías han contribuido a un mejor desempeño en tu vida profesional / laboral?,4.1.11 Rango salarial mensual (USD):,4.1.12 ¿Estas actualmente buscando trabajo?,4.1.13 ¿Por cuanto tiempo has estado buscando trabajo?,4.1.14 ¿Ha identificado alguna brecha o déficit en su formación académica que considere ha dificultado su inserción laboral?,TXT_Brecha_Formacion,4.2 ¿Conoces o has utilizado la Bolsa de Empleo de la EPN?,TXT_Hard_Skills,"6.2 ¿Qué temas/áreas/contenido consideras que debieron incluirse en tu proceso de formación? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Importancia de las buenas prácticas de TICS, TICS, Cobit",6.3 ¿Qué recomendaciones darías para mejorar la formación en tu carrera?,6.4 ¿Qué habilidades blandas crees que debieron ser fortalecidas mejor durante tu formación?,"6.5 Si pudieras agregar una habilidad blanda a tu formación académica, ¿cuál sería y cómo la aplicarías en tu carrera profesional?",carrera,anioGraduacion,S3_Trabajo_Equipo_Liderazgo,S7_Ingles,UTILIDAD_S3_Trabajo_Equipo_Liderazgo,Cohorte,4.1.1 Institución/Empresa donde trabajas:,6. Retroalimentación Abierta,T_Lower,T_Upper,Event,Facultad,TARGET_Evento_Num,carrera_homologada,Utilidad_HB_Promedio,Edad_raw,Edad_in_scope,Edad_model,Edad_model_imputed,Edad_oos_flag
0,23,Masculino,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,4.0,Si,Si,No,Sí,1,1,No,No,Sí,No,,Si,De $1001 a $1500,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Hidráulica,TICS,Ser más estrictos,La  expresión en público,Ninguna,(RRA20) INGENIERÍA CIVIL,2025,5.0,5.0,1,Julio,,,4.0,6.0,1.0,FIC (Civil),1,(RRA20) INGENIERÍA CIVIL,1.0,23,1,23.0,23.0,0
1,24,Masculino,,3.0,3.0,3.0,3.0,3.0,4.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Si,Sí,Sí,1,1,Sí,Sí,Sí,Sí,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Control industrial, PLCs, instalaciones eléctricas y potencia.","Liderazgos, emorendimiento, formación empresarial.",Mas practica.,Formación de liderazgo y ventas.,Liderazgo: poder comunicar y guiar a la gente del trabajo.,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025,3.0,3.0,1,Julio,,,4.0,6.0,1.0,FIE (Eléctrica/Electrónica),1,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,1.0,24,1,24.0,24.0,0
2,24,Femenino,,3.0,4.0,5.0,5.0,5.0,5.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,Sí,Especializarme en un lenguaje de programación,"a) Sí, la he utilizado para postularme a vacantes","Programación, aplicaciones móviles, estructura de datos y algoritmos, desarrollo web",Ciberseguridad,Tener más formación práctica que teórica,Comunicación efectiva,"Adaptabilidad, porque las tecnologías cambian muy rápido y se debe adaptar lo más pronto",(RRA20) SOFTWARE,2025,5.0,4.0,0,Julio,,,6.0,inf,0.0,FIS (Sistemas),0,(RRA20) SOFTWARE,0.0,24,1,24.0,24.0,0
3,27,Masculino,,3.0,4.0,3.0,4.0,5.0,3.0,4.0,,No,,,,,,,,,,0,0,,,,,,,,Si,De 6 meses a 1 año,Sí,Los profesores solo se enfocan en enseñar los temas y cumplir su sílabo más no se interesan en enseñar algo en la industria o de generar proyectos útiles para los estudiantes solo ejercicios y temas sin razón solo por tener notas,"d) No, pero me gustaría conocer más sobre cómo acceder",Robótica y todo lo relacionado a PLCs,Importancia en el acercamiento de estudiantes a empresas más no únicamente a los laboratorios de la facu,Realizar un sílabo enfocado al estudiante no solo a que se cumpla con una extensa variedad de temas,Comunicación efectiva y liderazgo,"Liderazgo, muchas veces solo hacen incomodar o en ocasiones denigrar al estudiante, volviéndolo inseguro de compartir ideas, por lo q el liderazgo podría ser una alternativa muy buena que desarrollaría más habilidades relacionadas",(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025,3.5,4.0,0,Julio,,,6.0,inf,0.0,FIE (Eléctrica/Electrónica),0,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,0.0,27,1,27.0,27.0,0
4,22,Masculino,,4.0,3.0,3.0,4.0,5.0,4.0,4.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,c) No la conozco,"Bases de datos, Desarrollo de aplicaciones web, Tecnologias de seguriodad, Desarrollo de IoT",Sistemas IoT,Un poco mas de intervención en ciertas materias para que el estudiante no se quede estancado,Manejo de conflictos,"Iniciativa, para poder intervenir en muchos de los escenarios que puede haber en el mundo laboral",(RRA20) DESARROLLO DE SOFTWARE,2025,3.5,2.0,0,Julio,,,6.0,inf,0.0,FIS (Sistemas),0,(RRA20) DESARROLLO DE SOFTWARE,0.0,22,1,22.0,22.0,0
5,25,Masculino,,2.0,3.0,2.0,2.0,2.0,2.0,4.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,1.0,Si,Parcialmente,Sí,No,0,0,No,Sí,Sí,No,,Si,De $461 a $1000,,,,,c) No la conozco,Electrónica,Robótica,Más práctico,Todo,Ninguna,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025,2.0,2.0,1,Julio,,,4.0,6.0,1.0,FIE (Eléctrica/Electrónica),1,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,0.0,25,1,25.0,25.0,0
6,25,Masculino,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,4.0,No,Parcialmente,No,No,0,0,No,No,No,Sí,,Si,De $461 a $1000,,,,,c) No la conozco,"programación,bases de datos, gestión de proyectos",tics,programa de con empresas teológicas  para pasantías,liderar,,(RRA20) DESARROLLO DE SOFTWARE,2025,4.0,3.0,1,Julio,,,1.0,2.0,1.0,FIS (Sistemas),1,(RRA20) DESARROLLO DE SOFTWARE,0.0,25,1,25.0,25.0,0
7,24,Masculino,,4.0,3.0,3.0,3.0,4.0,4.0,4.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes",Diseño de Proyectos Estructurales,TICs,Vincular más a los estudiantes con el campo laboral,Presentación y dirección,Oratoria,(RRA20) INGENIERÍA CIVIL,2025,3.0,3.0,0,Julio,,,6.0,inf,0.0,FIC (Civil),0,(RRA20) INGENIERÍA CIVIL,0.0,24,1,24.0,24.0,0
8,23,Femenino,,3.0,3.0,4.0,4.0,5.0,5.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,4.0,Si,Parcialmente,No,No,1,1,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Optimización de procesos,"TICs, manejo de Sap",Ser más prácticos que técnicos,Comunicación afectiva,Una mejor comunicación y liderazgo,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025,4.0,3.0,1,Julio,,,2.0,4.0,1.0,FCA (Ciencias Admin.),1,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,1.0,23,1,23.0,23.0,0
9,23,Femenino,,3.0,3.0,3.0,4.0,3.0,4.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Parcialmente,No,No,0,0,No,No,No,Sí,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Gestión de procesos, calidad, logística y distribución, programación, proyectos, cadena de suministro",Más a profundidad el tema de proyectos,Que se fomente más las habilidades blandas,"Inteligencia emocional, liderazgo","Inteligencia emocional, charlas y conscientizacion",(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025,3.5,3.0,1,Julio,,,4.0,6.0,1.0,FCA (Ciencias Admin.),1,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,0.0,23,1,23.0,23.0,0
